component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	authoritative_private_license_path	public_legal_file_path	legal_file_sha256	notice_path	artifacts	distribution_kind	inclusion_reason	exclusion_reason	verification_status
ab_glyph	0.2.32	rust-package	https://crates.io/crates/ab_glyph/0.2.32	Apache-2.0	Apache-2.0	licenses/ab_glyph-0.2.32-LICENSE-Apache-2_0-ec9246a757-a6cba85bc92e.txt	licenses/ab_glyph-0.2.32-LICENSE-Apache-2_0-ec9246a757-a6cba85bc92e.txt	a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan-gui -normal:egui-> egui@0.31.1 -normal:epaint-> epaint@0.31.1 -normal:ab_glyph-> ab_glyph@0.2.32. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
ab_glyph_rasterizer	0.1.10	rust-package	https://crates.io/crates/ab_glyph_rasterizer/0.1.10	Apache-2.0	Apache-2.0	licenses/ab_glyph_rasterizer-0.1.10-LICENSE-Apache-2_0-7f1a9af045-a6cba85bc92e.txt	licenses/ab_glyph-0.2.32-LICENSE-Apache-2_0-ec9246a757-a6cba85bc92e.txt	a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan-gui -normal:egui-> egui@0.31.1 -normal:epaint-> epaint@0.31.1 -normal:ab_glyph-> ab_glyph@0.2.32 -normal:ab_glyph_rasterizer-> ab_glyph_rasterizer@0.1.10. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
adler2	2.0.1	rust-package	https://crates.io/crates/adler2/2.0.1	0BSD OR MIT OR Apache-2.0	MIT	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan-gui -normal:png-> png@0.18.1 -normal:flate2-> flate2@1.1.9 -normal:miniz_oxide-> miniz_oxide@0.8.9 -normal:adler2-> adler2@2.0.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
ahash	0.8.12	rust-package	https://crates.io/crates/ahash/0.8.12	MIT OR Apache-2.0	MIT	licenses/ahash-0.8.12-LICENSE-MIT-MIT-836ab594f5-0444c6991eea.txt	licenses/ahash-0.8.12-LICENSE-MIT-MIT-836ab594f5-0444c6991eea.txt	0444c6991eead6822f7b9102e654448d51624431119546492e8b231db42c48bb		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan-gui -normal:egui-> egui@0.31.1 -normal:ahash-> ahash@0.8.12. Observed unit contexts: HOST_BUILD_SCRIPT,TARGET_LINKED_RUNTIME.		PASS
android_system_properties	0.1.5	rust-package	https://crates.io/crates/android_system_properties/0.1.5	MIT/Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crate source android_system_properties-0.1.5.	PASS
anyhow	1.0.104	rust-package	https://crates.io/crates/anyhow/1.0.104	MIT OR Apache-2.0	MIT	licenses/anyhow-1.0.104-LICENSE-MIT-MIT-9b808494a0-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:anyhow-> anyhow@1.0.104. Observed unit contexts: HOST_BUILD_SCRIPT,TARGET_LINKED_RUNTIME.		PASS
Apple-system-libraries	OS	native-component	https://www.apple.com/macos/	NOT_DISTRIBUTED	NOT_APPLICABLE					macos-universal	SYSTEM_DEPENDENCY_NOT_DISTRIBUTED	operating-system libraries are referenced but not copied		PASS
arrayvec	0.7.8	rust-package	https://crates.io/crates/arrayvec/0.7.8	MIT OR Apache-2.0	MIT	licenses/arrayvec-0.7.8-LICENSE-MIT-MIT-06989cd89e-4da95ec4ecb6.txt	licenses/arrayvec-0.7.8-LICENSE-MIT-MIT-06989cd89e-4da95ec4ecb6.txt	4da95ec4ecb65b738d470b7d762894ad9c97da93e6cbfb18b570fc2c96f4b871		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:arrayvec-> arrayvec@0.7.8. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
ash	0.38.0+1.3.281	rust-package	https://crates.io/crates/ash/0.38.0+1.3.281	MIT OR Apache-2.0	MIT	licenses/ash-0.38.0+1.3.281-LICENSE-MIT-MIT-9cd7950f1e-c733ccf8ab25.txt	licenses/ash-0.38.0+1.3.281-LICENSE-MIT-MIT-9cd7950f1e-c733ccf8ab25.txt	c733ccf8ab25df175a63d9d844677b98e3a5ab8f8de1c1616087e6868a7f948e		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:ash-> ash@0.38.0+1.3.281. Observed unit contexts: HOST_BUILD_SCRIPT,TARGET_LINKED_RUNTIME.		PASS
async-broadcast	0.7.2	rust-package	https://crates.io/crates/async-broadcast/0.7.2	MIT OR Apache-2.0	MIT	licenses/async-broadcast-0.7.2-LICENSE-MIT-MIT-186e83f5d6-24e5860bf589.txt	licenses/async-broadcast-0.7.2-LICENSE-MIT-MIT-186e83f5d6-24e5860bf589.txt	24e5860bf589d8501643e6ea51ffb3df66db2867492b09033d486183efbfa970		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_broadcast-> async-broadcast@0.7.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
